actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,curvature_bin,lower_curvature,mean_absolute_steering,mean_speed,mean_throttle,observation_type,outcome,root_identity,run_id,sample_count,training_interactions,upper_curvature
small,a2c,0.2275132275132275,0,0,development,curve_1,0.0,0.44243563166677846,22.000000342939327,0.18669823732808546,frenet,completed,2,a2c-small-frenet-seed-2,189,2000000,0.05485719880639534
small,a2c,0.23776223776223776,0,0,development,curve_2,0.05485719880639534,0.8034950463505058,21.127477873699824,0.08076978966038531,frenet,completed,2,a2c-small-frenet-seed-2,143,2000000,0.08331733356806285
small,a2c,0.18181818181818182,0,0,development,straight,0.0,0.16653231367972757,19.25541093918403,0.3063642940177888,frenet,completed,3,a2c-small-frenet-seed-3,286,2000000,1e-08
small,a2c,0.23036649214659685,0,0,development,curve_1,0.0,0.3450213135945421,21.218838185542705,0.16558649769011416,frenet,completed,3,a2c-small-frenet-seed-3,191,2000000,0.05485719880639534
small,a2c,0.3941176470588235,0,0,development,curve_2,0.05485719880639534,0.6312265677925418,20.37329204359357,0.07750006179489634,frenet,completed,3,a2c-small-frenet-seed-3,170,2000000,0.08331733356806285
small,a2c,0.22580645161290322,0,0,development,straight,0.0,0.14999569980652944,19.90921790123713,0.31821503915647076,frenet,completed,4,a2c-small-frenet-seed-4,279,2000000,1e-08
small,a2c,0.32,0,0,development,curve_1,0.0,0.3287844162725378,21.248370665039282,0.2144175895722583,frenet,completed,4,a2c-small-frenet-seed-4,200,2000000,0.05485719880639534
small,a2c,0.3194444444444444,0,0,development,curve_2,0.05485719880639534,0.6717726011864014,19.251067134309356,0.18700694602577844,frenet,completed,4,a2c-small-frenet-seed-4,144,2000000,0.08331733356806285
tiny,a2c,0.10738255033557047,0,0,development,straight,0.0,0.11470184378222806,18.49849903414761,0.262787215088591,frenet,completed,0,a2c-tiny-frenet-seed-0,298,2000000,1e-08
tiny,a2c,0.3188405797101449,0,0,development,curve_1,0.0,0.2724966015829817,20.617571870520827,0.16652347533884887,frenet,completed,0,a2c-tiny-frenet-seed-0,207,2000000,0.05485719880639534
tiny,a2c,0.49264705882352944,0,0,development,curve_2,0.05485719880639534,0.5772218635744032,20.304063915387065,0.05387395384776242,frenet,completed,0,a2c-tiny-frenet-seed-0,136,2000000,0.08331733356806285
tiny,a2c,0.0,0,0,development,straight,0.0,0.0982126800827488,18.46931210907638,0.3365219903240601,frenet,completed,1,a2c-tiny-frenet-seed-1,300,2000000,1e-08
tiny,a2c,0.17098445595854922,0,0,development,curve_1,0.0,0.29621656637136956,20.90045557218236,0.22241510544515122,frenet,completed,1,a2c-tiny-frenet-seed-1,193,2000000,0.05485719880639534
tiny,a2c,0.725,0,0,development,curve_2,0.05485719880639534,0.6739263032795861,20.851994685954555,-0.02808164272992144,frenet,completed,1,a2c-tiny-frenet-seed-1,160,2000000,0.08331733356806285
tiny,a2c,0.05405405405405406,0,0,development,straight,0.0,0.13430833221299926,17.471480785862997,0.4217025996588573,frenet,crashed,2,a2c-tiny-frenet-seed-2,185,2000000,1e-08
tiny,a2c,0.3008849557522124,0,0,development,curve_1,0.0,0.3300047400031461,21.201229123255533,0.19174531620692264,frenet,crashed,2,a2c-tiny-frenet-seed-2,113,2000000,0.05485719880639534
