actor_name,algorithm,completion_rate,crash_rate,evaluation_count,lap_target_rate,mean_progress,mean_return,median_progress,observation_type,root_identity,run_checksum,run_id,training_duration,training_interactions
medium,a2c,1.0,0.0,1,1.0,1.0001230905443204,226.61302449117997,1.0001230905443204,frenet,1,b3dac8abf7a4757cdfba91623bf232e5701db7f4015080547b63eca5687c361d,a2c-medium-frenet-seed-1,324.0201270994512,2000000
medium,a2c,0.0,1.0,1,0.0,0.20654205607476592,8.48074766355136,0.20654205607476592,frenet,1,b3dac8abf7a4757cdfba91623bf232e5701db7f4015080547b63eca5687c361d,a2c-medium-frenet-seed-1,41.55742339970311,250000
medium,a2c,0.0,1.0,1,0.0,0.5437170934761097,34.865970330764604,0.5437170934761097,frenet,1,b3dac8abf7a4757cdfba91623bf232e5701db7f4015080547b63eca5687c361d,a2c-medium-frenet-seed-1,82.20034439950905,500000
medium,a2c,0.0,1.0,1,0.0,0.5449873342149723,34.449323162968334,0.5449873342149723,frenet,1,b3dac8abf7a4757cdfba91623bf232e5701db7f4015080547b63eca5687c361d,a2c-medium-frenet-seed-1,122.63036499926602,750000
medium,a2c,1.0,0.0,1,1.0,1.000248121899574,215.97044318288545,1.000248121899574,frenet,2,229fe70bb68869840e6623c860267f27642fc2dd85106bd12a954fe566de2830,a2c-medium-frenet-seed-2,162.46041620005417,1000000
medium,a2c,1.0,0.0,1,1.0,1.0001887253216901,228.05694526027563,1.0001887253216901,frenet,2,229fe70bb68869840e6623c860267f27642fc2dd85106bd12a954fe566de2830,a2c-medium-frenet-seed-2,323.40039229986724,2000000
medium,a2c,0.0,1.0,1,0.0,0.22278962812418426,9.786772551325997,0.22278962812418426,frenet,2,229fe70bb68869840e6623c860267f27642fc2dd85106bd12a954fe566de2830,a2c-medium-frenet-seed-2,40.729062699905626,250000
medium,a2c,0.0,1.0,1,0.0,0.6803227535029066,44.15686748104209,0.6803227535029066,frenet,2,229fe70bb68869840e6623c860267f27642fc2dd85106bd12a954fe566de2830,a2c-medium-frenet-seed-2,81.9268420999033,500000
medium,a2c,1.0,0.0,1,1.0,1.0003099830251685,216.80458128168067,1.0003099830251685,frenet,2,229fe70bb68869840e6623c860267f27642fc2dd85106bd12a954fe566de2830,a2c-medium-frenet-seed-2,121.8557390997048,750000
medium,a2c,1.0,0.0,1,1.0,1.0001617748406322,222.4781640183462,1.0001617748406322,frenet,3,135ee0df4e08dbe9e6b5fa22b3297252ca0aa88837f5be846a808b4aa96d807e,a2c-medium-frenet-seed-3,165.01752100044177,1000000
medium,a2c,1.0,0.0,1,1.0,1.000183828296465,228.05715253754505,1.000183828296465,frenet,3,135ee0df4e08dbe9e6b5fa22b3297252ca0aa88837f5be846a808b4aa96d807e,a2c-medium-frenet-seed-3,325.6654563009288,2000000
medium,a2c,0.0,1.0,1,0.0,0.19738946183192427,7.839626168224406,0.19738946183192427,frenet,3,135ee0df4e08dbe9e6b5fa22b3297252ca0aa88837f5be846a808b4aa96d807e,a2c-medium-frenet-seed-3,42.04617329991015,250000
medium,a2c,1.0,0.0,1,1.0,1.0002599932449674,224.7908816893117,1.0002599932449674,frenet,3,135ee0df4e08dbe9e6b5fa22b3297252ca0aa88837f5be846a808b4aa96d807e,a2c-medium-frenet-seed-3,82.8562480000619,500000
medium,a2c,1.0,0.0,1,1.0,1.0000332886757395,219.11117998795675,1.0000332886757395,frenet,3,135ee0df4e08dbe9e6b5fa22b3297252ca0aa88837f5be846a808b4aa96d807e,a2c-medium-frenet-seed-3,124.20052960025714,750000
medium,a2c,1.0,0.0,1,1.0,1.0002590967306844,225.86898552545705,1.0002590967306844,frenet,4,bfbe7000e586f49911e8a8d0741fe610f56f8ba8a70ca8bf2d01250c4d59a78b,a2c-medium-frenet-seed-4,170.55350260051637,1000000
medium,a2c,1.0,0.0,1,1.0,1.0003671114408546,225.3735013599026,1.0003671114408546,frenet,4,bfbe7000e586f49911e8a8d0741fe610f56f8ba8a70ca8bf2d01250c4d59a78b,a2c-medium-frenet-seed-4,334.8872262001496,2000000
medium,a2c,0.0,1.0,1,0.0,0.0598967465603781,-3.4518944808086127,0.0598967465603781,frenet,4,bfbe7000e586f49911e8a8d0741fe610f56f8ba8a70ca8bf2d01250c4d59a78b,a2c-medium-frenet-seed-4,44.63360540061694,250000
medium,a2c,0.0,1.0,1,0.0,0.5037020273654301,33.03465269379704,0.5037020273654301,frenet,4,bfbe7000e586f49911e8a8d0741fe610f56f8ba8a70ca8bf2d01250c4d59a78b,a2c-medium-frenet-seed-4,87.68963970063851,500000
medium,a2c,0.0,1.0,1,0.0,0.9757123028876897,67.47900852542301,0.9757123028876897,frenet,4,bfbe7000e586f49911e8a8d0741fe610f56f8ba8a70ca8bf2d01250c4d59a78b,a2c-medium-frenet-seed-4,128.2715489005277,750000
small,a2c,1.0,0.0,1,1.0,1.000179866972032,221.94083814874028,1.000179866972032,frenet,0,530a94f6e757947f661ae123e470f164bfa8db875605d45c73d3d6e6d6372747,a2c-small-frenet-seed-0,170.57645300004333,1000000
small,a2c,1.0,0.0,1,1.0,1.0002146201395077,226.8564351242876,1.0002146201395077,frenet,0,530a94f6e757947f661ae123e470f164bfa8db875605d45c73d3d6e6d6372747,a2c-small-frenet-seed-0,330.8233341001178,2000000
small,a2c,0.0,1.0,1,0.0,0.20631956284458136,7.84074766355131,0.20631956284458136,frenet,0,530a94f6e757947f661ae123e470f164bfa8db875605d45c73d3d6e6d6372747,a2c-small-frenet-seed-0,42.26476399977764,250000
small,a2c,0.0,1.0,1,0.0,0.5562308512776585,35.67286911896881,0.5562308512776585,frenet,0,530a94f6e757947f661ae123e470f164bfa8db875605d45c73d3d6e6d6372747,a2c-small-frenet-seed-0,85.69211499981975,500000
small,a2c,1.0,0.0,1,1.0,1.0002231822275653,214.26772170465404,1.0002231822275653,frenet,0,530a94f6e757947f661ae123e470f164bfa8db875605d45c73d3d6e6d6372747,a2c-small-frenet-seed-0,129.15283569992425,750000
small,a2c,1.0,0.0,1,1.0,1.000246505295609,223.70788849231832,1.000246505295609,frenet,1,837a9afc6e8b5bb4d9a84f0e3ef1d414d9dd214c460c9400da3cbad0b08cb905,a2c-small-frenet-seed-1,162.3824736998722,1000000
small,a2c,1.0,0.0,1,1.0,1.0001344992591328,230.34651237854317,1.0001344992591328,frenet,1,837a9afc6e8b5bb4d9a84f0e3ef1d414d9dd214c460c9400da3cbad0b08cb905,a2c-small-frenet-seed-1,325.40074740017553,2000000
small,a2c,0.0,1.0,1,0.0,0.20079156310598612,7.486456484377797,0.20079156310598612,frenet,1,837a9afc6e8b5bb4d9a84f0e3ef1d414d9dd214c460c9400da3cbad0b08cb905,a2c-small-frenet-seed-1,41.80324099991776,250000
small,a2c,0.0,1.0,1,0.0,0.5492936235391833,35.7360291568183,0.5492936235391833,frenet,1,837a9afc6e8b5bb4d9a84f0e3ef1d414d9dd214c460c9400da3cbad0b08cb905,a2c-small-frenet-seed-1,82.34848989996863,500000
small,a2c,1.0,0.0,1,1.0,1.0002156093645445,223.20394560372068,1.0002156093645445,frenet,1,837a9afc6e8b5bb4d9a84f0e3ef1d414d9dd214c460c9400da3cbad0b08cb905,a2c-small-frenet-seed-1,122.3891849998472,750000
small,a2c,0.0,1.0,1,0.0,0.6879224789086957,46.311781646661345,0.6879224789086957,frenet,2,01c5540ea7126d44064f2c48ceec5c7f2498a6da51af952451b34175b6bb3d48,a2c-small-frenet-seed-2,159.06270829897767,1000000
small,a2c,1.0,0.0,1,1.0,1.0001025748360723,230.6217231726015,1.0001025748360723,frenet,2,01c5540ea7126d44064f2c48ceec5c7f2498a6da51af952451b34175b6bb3d48,a2c-small-frenet-seed-2,323.64193840027656,2000000
small,a2c,0.0,1.0,1,0.0,0.20747663551401796,7.877663177783212,0.20747663551401796,frenet,2,01c5540ea7126d44064f2c48ceec5c7f2498a6da51af952451b34175b6bb3d48,a2c-small-frenet-seed-2,40.83220249967053,250000
small,a2c,0.0,1.0,1,0.0,0.54759654609062,35.01527577073211,0.54759654609062,frenet,2,01c5540ea7126d44064f2c48ceec5c7f2498a6da51af952451b34175b6bb3d48,a2c-small-frenet-seed-2,80.18233339889048,500000
small,a2c,1.0,0.0,1,1.0,1.0001784609325448,222.62764870723714,1.0001784609325448,frenet,2,01c5540ea7126d44064f2c48ceec5c7f2498a6da51af952451b34175b6bb3d48,a2c-small-frenet-seed-2,120.54922899886878,750000
small,a2c,1.0,0.0,1,1.0,1.0001703362842898,219.8845723998391,1.0001703362842898,frenet,3,efab375044a02933be141ce49a16ba2c41cb327defa93ff545e6d7c95656e297,a2c-small-frenet-seed-3,162.24385749980866,1000000
small,a2c,1.0,0.0,1,1.0,1.0002265261055328,223.4806397935767,1.0002265261055328,frenet,3,efab375044a02933be141ce49a16ba2c41cb327defa93ff545e6d7c95656e297,a2c-small-frenet-seed-3,323.33204759958244,2000000
small,a2c,0.0,1.0,1,0.0,0.20672096522987962,8.258366127447948,0.20672096522987962,frenet,3,efab375044a02933be141ce49a16ba2c41cb327defa93ff545e6d7c95656e297,a2c-small-frenet-seed-3,41.81414860032601,250000
small,a2c,0.0,1.0,1,0.0,0.549018675293524,35.39009025251238,0.549018675293524,frenet,3,efab375044a02933be141ce49a16ba2c41cb327defa93ff545e6d7c95656e297,a2c-small-frenet-seed-3,82.05582610046986,500000
small,a2c,1.0,0.0,1,1.0,1.0003091747736705,224.07479805377875,1.0003091747736705,frenet,3,efab375044a02933be141ce49a16ba2c41cb327defa93ff545e6d7c95656e297,a2c-small-frenet-seed-3,122.41506130005655,750000
small,a2c,1.0,0.0,1,1.0,1.0003390755381134,217.99685432105736,1.0003390755381134,frenet,4,1f9f62fd67c2e03dadcbbc5749e6a468c440dce181e227254df230d5f424b712,a2c-small-frenet-seed-4,163.3552404988659,1000000
small,a2c,1.0,0.0,1,1.0,1.000419832321585,227.89964910352285,1.000419832321585,frenet,4,1f9f62fd67c2e03dadcbbc5749e6a468c440dce181e227254df230d5f424b712,a2c-small-frenet-seed-4,326.29428840030596,2000000
small,a2c,0.0,1.0,1,0.0,0.20093457943925308,7.846448099184375,0.20093457943925308,frenet,4,1f9f62fd67c2e03dadcbbc5749e6a468c440dce181e227254df230d5f424b712,a2c-small-frenet-seed-4,41.82336959985332,250000
small,a2c,0.0,1.0,1,0.0,0.47571202363783616,29.32805486969064,0.47571202363783616,frenet,4,1f9f62fd67c2e03dadcbbc5749e6a468c440dce181e227254df230d5f424b712,a2c-small-frenet-seed-4,82.24196509932153,500000
small,a2c,0.0,1.0,1,0.0,0.5548526003943507,34.76756511001192,0.5548526003943507,frenet,4,1f9f62fd67c2e03dadcbbc5749e6a468c440dce181e227254df230d5f424b712,a2c-small-frenet-seed-4,122.82036339942715,750000
