actor_name,algorithm,contrast,end_to_end_duration,final_completion_rate,final_crash_rate,final_mean_progress,final_mean_return,late_completion_rate,late_mean_return,progress_auc,restricted_convergence_duration,restricted_convergence_interactions,return_auc,root_identity,training_duration
,reinforce,small_minus_large,-14.980355100000452,0.0,0.0,-0.0002510142190752518,28.121980800868187,0.0,28.301101656281844,-0.007907691742812362,-3.0781208003809297,0.0,16.50017628333896,3,-13.546333599831996
,reinforce,small_minus_large,-23.737576499997886,0.0,0.0,0.00027824005924048656,1.5772430033323417,0.0,2.343261779452945,-0.0853104174818583,81.6629231001134,500000.0,-29.898936987504413,4,-20.874064299645397
,reinforce,small_minus_large,-258.36273990000154,1.0,-1.0,0.9879811811621958,203.053349816991,1.0,202.00456716751452,0.8645845309874377,-410.3118691996897,-1450000.0,173.14946114108952,2,-197.45428899919716
,reinforce,small_minus_large,-48.260461199999554,0.0,0.0,7.130944418221041e-05,0.19800518602824013,0.125,33.828428158830434,-0.002881173989539354,1.1104856999318145,-50000.0,16.01776321937379,1,-47.9605104000766
,reinforce,small_minus_large,-8.782212699998126,0.0,0.0,-0.0003165987311530838,-0.7863192358244078,0.0,-7.798479587124632,-0.07080048537213635,36.34533579975687,200000.0,-27.006274820885324,0,-8.421183700094844
,reinforce,small_minus_medium,1.8407212000001891,0.0,0.0,-0.00016307706510820807,-1.1879177939749752,0.0,-3.7110431920541487,0.024484139330211874,-25.074666400621936,-200000.0,18.87795940079036,2,0.5578696002849028
,reinforce,small_minus_medium,13.64825700000074,0.0,0.0,-6.717693019209214e-05,18.698129676729252,0.0,22.07733456889349,-0.017535791799683342,3.8768379001139692,0.0,6.669363364398578,3,13.582610500392548
,reinforce,small_minus_medium,13.653706500001135,0.0,0.0,0.0002938982187334904,-18.501779363986145,0.0,-18.29633317261022,-0.0476236611729155,69.36553590018957,400000.0,-24.24540168306612,4,13.372053700501056
,reinforce,small_minus_medium,18.89313460000085,0.0,0.0,-7.79906972692146e-06,-12.488889362558524,0.0,-8.51925137229398,-0.052126735876411034,48.75311839972346,300000.0,-27.268018647260618,0,18.898301400626224
,reinforce,small_minus_medium,5.36561680000159,0.0,0.0,0.00017999582811212278,14.346272051537596,0.0,13.031235632961199,0.028182283415978393,-41.09077079987037,-300000.0,27.884908551020203,1,3.4071668002634397
