actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,coverage,mean_absolute_steering,mean_speed,mean_steering_change,mean_throttle,near_saturated_steering_fraction,near_zero_throttle_fraction,observation_type,outcome,positive_throttle_fraction,root_identity,run_id,sample_count,simulated_time,speed_median,speed_q10,speed_q90,speed_standard_deviation,steering_reversals,steering_reversals_per_time,throttle_median,throttle_q10,throttle_q90,throttle_standard_deviation,training_interactions
tiny,ppo,0.2942028985507246,0,0,development,1.0,0.4063279559073187,18.946224068931237,0.5125507434859807,0.244986024252274,0.002898550724637681,0.06086956521739131,frenet,completed,0.7057971014492753,2,ppo-tiny-frenet-seed-2,690,27.6,19.67695157495353,17.04028943447879,22.392254742007683,3.62276522105798,376,13.623188405797102,0.26321765780448914,-0.31412059664726255,0.79793713092804,0.4120015054785575,2000000
tiny,ppo,0.24621733149931224,0,0,development,1.0,0.7053369586724286,18.328847622472335,0.2762058319625914,0.20163090563575548,0.4718019257221458,0.07152682255845942,frenet,completed,0.7537826685006878,3,ppo-tiny-frenet-seed-3,727,29.080000000000002,19.12776150184138,17.264950601538743,20.100224043864596,3.08477940125131,116,3.9889958734525446,0.20324060320854187,-0.237761515378952,0.5380417346954344,0.3264422150491289,2000000
tiny,ppo,0.3025335320417288,0,0,development,1.0,0.4931279506073101,18.569757621420777,0.2339933928094436,0.19372699475790278,0.23397913561847988,0.21162444113263784,frenet,completed,0.6974664679582713,4,ppo-tiny-frenet-seed-4,671,26.84,19.34536352811058,17.38571673773853,20.18908261836089,3.19241512133877,177,6.594634873323398,0.13900062441825867,-0.14690668880939484,0.5834850668907166,0.32022650386485707,2000000
large,reinforce,0.2023047375160051,0,0,development,1.0,0.2560630367416158,17.53948628347273,0.021276824473319814,0.15010284737683982,0.07298335467349552,0.16517285531370038,frenet,completed,0.7976952624839949,0,reinforce-large-frenet-seed-0,781,31.240000000000002,18.342251211887685,15.627317186826833,19.23484988239408,2.8405632412154733,12,0.3841229193341869,0.08687306940555573,-0.03795754164457321,0.3866366744041443,0.24111890043873335,2000000
large,reinforce,0.2776957163958641,0,0,development,1.0,0.706078550934295,19.00386805940061,0.6990159181778087,0.23390622603111355,0.3929098966026588,0.06794682422451995,frenet,completed,0.7223042836041359,1,reinforce-large-frenet-seed-1,677,27.080000000000002,19.900717281527,16.20391538509392,22.315917884798953,3.710350696511459,339,12.518463810930575,0.2546757161617279,-0.2920406341552734,0.7177036046981811,0.36692762806352275,2000000
large,reinforce,0.0,0,0,development,0.012120517411320659,1.0,6.62671674769598,0.0,1.0,1.0,0.0,frenet,crashed,1.0,2,reinforce-large-frenet-seed-2,37,1.48,6.647525590627633,1.33328666056351,11.885981639386845,3.912378092095561,0,0.0,1.0,1.0,1.0,0.0,2000000
large,reinforce,0.33256616800920596,0,0,development,1.0,0.5711615003918172,14.48537846637697,0.2154519576793923,0.22129935191575034,0.09666283084004602,0.05408515535097814,frenet,completed,0.667433831990794,3,reinforce-large-frenet-seed-3,869,34.76,15.505125598942815,10.171183003230553,18.319452098880205,3.418396789848124,115,3.3084004602991945,0.23565860092639923,-0.4329885244369507,0.8464723467826845,0.46936784538895643,2000000
large,reinforce,0.32522407170294493,0,0,development,1.0,0.3420756122584201,16.432493011441778,0.4082526544804494,0.2642142775199625,0.05121638924455826,0.04865556978233035,frenet,completed,0.674775928297055,4,reinforce-large-frenet-seed-4,781,31.240000000000002,16.876724070634253,13.50633918992991,19.726870924022,3.0699950930838353,407,13.028169014084506,0.3871676027774811,-0.48486530780792236,0.920895516872406,0.5292705865214651,2000000
medium,reinforce,0.30446927374301674,0,0,development,1.0,0.28808641081461916,17.947170840875444,0.16875250335991174,0.17906605307007595,0.04189944134078212,0.08659217877094973,frenet,completed,0.6955307262569832,0,reinforce-medium-frenet-seed-0,716,28.64,18.60299105888584,17.16277100836691,19.654443365111902,3.0078943567105827,281,9.811452513966481,0.18268325924873352,-0.15851093083620071,0.455285906791687,0.27740148038853246,2000000
medium,reinforce,0.2619047619047619,0,0,development,1.0,0.2349869524894135,16.966824287857307,0.04729270476520999,0.18672210984418622,0.0,0.12169312169312169,frenet,completed,0.7380952380952381,1,reinforce-medium-frenet-seed-1,756,30.240000000000002,17.567913496766366,14.020521953492546,20.10335532077321,3.504233010210885,55,1.8187830687830686,0.15335585176944733,-0.23534640669822693,0.634988397359848,0.3063418146275256,2000000
medium,reinforce,0.29246487867177523,0,0,development,1.0,0.6877284082979568,16.32233266377889,0.1252549750268307,0.13019042510624337,0.194125159642401,0.26436781609195403,frenet,completed,0.7075351213282248,2,reinforce-medium-frenet-seed-2,783,31.32,16.96336864636261,15.408507176649804,18.16601701110702,2.759950039763282,60,1.9157088122605364,0.09133439511060715,-0.06572266817092895,0.2870419800281525,0.20301837399596748,2000000
medium,reinforce,0.1948529411764706,0,0,development,1.0,0.17884301776697006,16.275481341930167,0.011022126252628703,0.12366059529956022,0.0,0.32107843137254904,frenet,completed,0.8051470588235294,3,reinforce-medium-frenet-seed-3,816,32.64,16.78958419267014,15.492732596944865,17.919094722979,2.5176426920812327,7,0.21446078431372548,0.07559854537248611,-0.04646684601902962,0.21694915741682053,0.20827971519381172,2000000
medium,reinforce,0.24813153961136025,0,0,development,1.0,0.3094143036640091,19.187065793829415,0.028158330254958702,0.17601455716441125,0.10463378176382661,0.21674140508221226,frenet,completed,0.7518684603886397,4,reinforce-medium-frenet-seed-4,669,26.76,20.12443305198953,16.718516792477917,22.085561866710886,3.978363080574726,9,0.3363228699551569,0.14273181557655334,-0.06381595879793167,0.5574919342994692,0.2264853854686825,2000000
small,reinforce,0.12229299363057325,0,0,development,1.0,0.17981345458512318,17.02636543724814,0.013657037733296141,0.12896972572861778,0.0,0.29426751592356687,frenet,completed,0.8777070063694268,0,reinforce-small-frenet-seed-0,785,31.400000000000002,17.748113906244402,16.870668098332427,18.496606146268824,2.927880498808572,5,0.1592356687898089,0.09147603064775467,-0.007755552418529984,0.32154268026351934,0.18153376442705677,2000000
small,reinforce,0.13609467455621302,0,0,development,1.0,0.1863656083613389,18.62933817809939,0.01414248285677146,0.1584252716933643,0.0,0.2455621301775148,frenet,completed,0.863905325443787,1,reinforce-small-frenet-seed-1,676,27.04,19.449676357098365,18.68356377847152,20.13050016856615,3.296130039099057,5,0.1849112426035503,0.09176793321967125,-0.022081149742007256,0.3923213630914688,0.23555185341720755,2000000
small,reinforce,0.17848101265822786,0,0,development,1.0,0.22938546808742288,16.792307702236556,0.03650766439419842,0.13799875105625825,0.0,0.2848101265822785,frenet,completed,0.8215189873417722,2,reinforce-small-frenet-seed-2,790,31.6,17.355849013203482,15.088580975089823,18.809964407875324,2.9479103252207244,42,1.3291139240506329,0.08561915531754494,-0.0453673917800188,0.40170004367828377,0.21262202267835123,2000000
small,reinforce,0.24157303370786518,0,0,development,1.0,0.1958885454458938,18.042366560905162,0.017636895436484435,0.15766989169951354,0.0,0.23595505617977527,frenet,completed,0.7584269662921348,3,reinforce-small-frenet-seed-3,712,28.48,18.720627860408698,17.17050185624245,20.47167707073921,3.4140408701557527,7,0.24578651685393257,0.12799276411533356,-0.059241409227252004,0.5209093183279032,0.21987271690548132,2000000
small,reinforce,0.08419689119170984,0,0,development,1.0,0.20401710972721163,16.843613333811085,0.015112162828665884,0.12522095802815064,0.0,0.4028497409326425,frenet,completed,0.9158031088082902,4,reinforce-small-frenet-seed-4,772,30.88,17.510341735302593,16.46417350723554,18.358042671943974,3.037766630813166,10,0.3238341968911917,0.07058090716600418,0.0034372998634353315,0.34821538329124446,0.17509226897165459,2000000
tiny,reinforce,0.0,0,0,development,0.6750579969067029,0.22534613140548268,17.907730293687212,0.01609839783530183,0.193921906881249,0.0,0.0102880658436214,frenet,crashed,1.0,0,reinforce-tiny-frenet-seed-0,486,19.44,19.724211594103892,9.319490322860807,21.78959904553283,5.184915537187297,5,0.257201646090535,0.1228448711335659,0.0915941596031189,0.5057514011859894,0.1468310497755253,2000000
tiny,reinforce,0.0,0,0,development,1.0,0.21824754125879345,17.917643499904294,0.017912563918496834,0.14814418395315962,0.0,0.18,frenet,completed,1.0,1,reinforce-tiny-frenet-seed-1,700,28.0,19.174665741141943,13.409698340303704,20.3837838398824,4.015717598901704,10,0.35714285714285715,0.102644432336092,0.03350878618657589,0.3898262411355974,0.1455674508359592,2000000
tiny,reinforce,0.16071428571428573,0,0,development,0.9692147454594928,0.27134240396151743,18.66562693668957,0.018503026664812235,0.16256015383875083,0.0,0.125,frenet,crashed,0.8392857142857143,2,reinforce-tiny-frenet-seed-2,672,26.88,20.110510025704887,12.626321276769122,21.800235698585407,4.492996246861282,9,0.3348214285714286,0.1505579724907875,-0.07093576863408087,0.42051027119159673,0.16406299466491994,2000000
tiny,reinforce,0.07317073170731707,0,0,development,1.0,0.20286268971802285,17.922719730391307,0.015349333791394087,0.14637769614610222,0.0,0.18077474892395984,frenet,completed,0.926829268292683,3,reinforce-tiny-frenet-seed-3,697,27.88,19.026504559093997,13.574871887349834,20.42473605126047,4.00110503226039,7,0.25107604017216645,0.08738163113594055,0.008044329285621652,0.44879432916641215,0.1573432405351584,2000000
tiny,reinforce,0.0,0,0,development,0.6893808917775284,0.22306508122821267,18.244664834461453,0.01669543307329828,0.20534421749271248,0.0,0.040169133192389,frenet,crashed,1.0,4,reinforce-tiny-frenet-seed-4,473,18.92,20.406431019720866,9.143151536521671,22.366196835060233,5.445479474005555,5,0.2642706131078224,0.15321174263954163,0.0827933207154274,0.5187421679496765,0.14505862048069254,2000000
