absolute_steering_maximum,absolute_steering_mean,absolute_steering_minimum,absolute_steering_q25,absolute_steering_q50,absolute_steering_q75,absolute_steering_q90,absolute_steering_standard_deviation,actor_name,algorithm,braking_fraction,circuit_identity,circuit_length,circuit_seed,circuit_split,curvature_q25,curvature_q50,curvature_q75,curvature_q90,evaluation_index,final_progress,interactions,lap_time,maximum_progress,near_saturated_steering_fraction,observation_type,outcome,positive_throttle_fraction,return,root_identity,run_checksum,run_id,simulated_time,speed_maximum,speed_mean,speed_minimum,speed_q25,speed_q50,speed_q75,speed_q90,speed_standard_deviation,throttle_maximum,throttle_mean,throttle_minimum,throttle_q25,throttle_q50,throttle_q75,throttle_q90,throttle_standard_deviation,training_duration,training_interactions
0.9854007363319397,0.39281622084168094,0.001431870274245739,0.18787822499871254,0.3058801144361496,0.5600090324878693,0.9593523144721985,0.28124596685775366,large,a2c,0.45466666666666666,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,37,0.9360919603981481,750,,0.9360919603981481,0.11866666666666667,frenet,stalled,0.5453333333333333,53.609196039814464,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,30.0,21.59036263264612,15.661831043766972,0.0,15.616654158478466,17.82003055175508,19.293921496268027,20.439851111566153,6.142986851488364,0.9935940504074097,0.12869735900126397,-0.9894295930862427,-0.3265998661518097,0.19193559139966965,0.6227388679981232,0.8049784123897553,0.5601592467684289,340.6847591000769,1900000
0.9828523397445679,0.38710183908718065,0.00079826993169263,0.18035858869552612,0.28072886168956757,0.5622555166482925,0.8726144433021545,0.28289856344524694,large,a2c,0.3925619834710744,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,38,1.0000080983721427,726,29.04,1.0000080983721427,0.09366391184573003,frenet,completed,0.6074380165289256,209.223966456987,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,29.04,20.472944107388074,17.653289778331157,0.0,17.739111364084202,18.510685906638432,18.907442665429482,19.217792982444955,2.921820814969112,0.9999046921730042,0.2597737818729959,-0.6907596588134766,-0.2269451841711998,0.2837586998939514,0.70632503926754,0.8076691925525665,0.4886050121998606,349.4498579002284,1950000
0.9923233389854431,0.40916094081972304,8.236616849899292e-06,0.11662030220031738,0.3101835548877716,0.717515766620636,0.8967075943946838,0.32086793916505735,large,a2c,0.0,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,3,0.18598130841121505,169,,0.18598130841121505,0.08875739644970414,frenet,crashed,1.0,6.840359031983242,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,6.76,35.49824418155963,15.70048983373683,0.0,4.903809836186367,14.476132548544106,25.70205565431461,32.6261011193431,11.423298408461656,0.9228582382202148,0.6428824394676812,0.061956681311130524,0.4796941578388214,0.7149256467819214,0.854978621006012,0.9152503967285156,0.23783585457264705,37.01935750003395,200000
0.975088894367218,0.40506356096362706,0.0012266183039173484,0.1688407100737095,0.2898690402507782,0.6404776126146317,0.9298203885555267,0.30305057398264335,large,a2c,0.43029490616621985,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,39,1.0003294610051874,746,29.84,1.0003294610051874,0.12198391420911528,frenet,completed,0.5697050938337802,205.75974630355176,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,29.84,20.5763234338911,17.597320423195146,0.0,17.27258768345799,18.46720759398857,19.086071076607304,19.79097376592267,3.033637523700856,0.9999576807022095,0.24804178794287896,-0.7409095764160156,-0.18286866694688797,0.1637842208147049,0.7269101142883301,0.7810563743114471,0.47941221814005175,358.20759760034707,2000000
0.960935115814209,0.3130929559679227,0.0021843949798494577,0.1412629634141922,0.19785816967487335,0.4569941461086273,0.6573672890663148,0.24767325062371232,large,a2c,0.0,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,4,0.2022154972421422,153,,0.2022154972421422,0.0457516339869281,frenet,crashed,1.0,9.077768427554242,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,6.12,34.736296103805465,18.4500808736467,0.0,11.199686087900234,20.033865720898977,24.841487620844692,30.864235382435837,9.345008777172033,0.9295519590377808,0.7047246604963066,0.27226996421813965,0.6333029866218567,0.7466357350349426,0.8264485001564026,0.8914259791374207,0.17870466973442853,46.74843739983771,250000
0.8662354946136475,0.27627434673980233,7.800012826919556e-05,0.0879909098148346,0.19936245679855347,0.45655134320259094,0.644509470462799,0.2328465152564642,large,a2c,0.2068230277185501,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,5,0.6739688263031457,469,,0.6739688263031457,0.0,frenet,crashed,0.7931769722814499,43.60854610163106,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,18.76,23.746043444522673,18.844958273227228,0.0,17.541449249096093,20.132661343757906,21.89385086682611,22.87792231854757,4.664390366232435,0.9447843432426453,0.2310375342005814,-0.1387685090303421,0.037166085094213486,0.22941745817661285,0.3468213975429535,0.46648977398872377,0.24477627045352085,55.93693289980729,300000
0.9959592223167419,0.33639088138723644,0.000346548855304718,0.055391814559698105,0.18423663079738617,0.5957351326942444,0.9740975499153137,0.35236437943243415,large,a2c,0.2908093278463649,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,6,0.963989038601942,729,,0.963989038601942,0.16598079561042525,frenet,crashed,0.7091906721536351,62.21378291160718,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,29.16,22.29624659245587,16.966937016968078,0.0,15.382631097673265,17.291038252663654,19.951808557928985,21.291745020383573,3.897630096655584,0.968079686164856,0.18777448801398508,-0.5001786947250366,-0.017839178442955017,0.23735909163951874,0.3489242494106293,0.556582069396973,0.30311756021943437,64.93167119984719,350000
0.9681372046470642,0.280977199693325,0.0005458779050968587,0.11161181889474392,0.17485516518354416,0.39309538155794144,0.7278426945209506,0.24907833680180594,large,a2c,0.27734375,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,7,1.0000433924388878,768,30.72,1.0000433924388878,0.045572916666666664,frenet,completed,0.72265625,201.77439145211088,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,30.72,19.134066518842953,16.90470707810027,0.0,16.830605950670975,17.611912298298925,18.00550332069678,18.295305466790616,2.665179182338982,0.9821473360061646,0.14406326138972267,-0.2298116236925125,-0.009395478060469031,0.10383498296141624,0.22738037630915642,0.40659836530685467,0.23877709495001415,73.78543909974906,400000
0.9977172613143921,0.3897639490590399,0.0011029611341655254,0.16933144256472588,0.2739131301641464,0.5631112903356552,0.9423807561397552,0.295249075018839,large,a2c,0.3148148148148148,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,8,1.0000402723476902,756,30.240000000000002,1.0000402723476902,0.12037037037037036,frenet,completed,0.6851851851851852,203.91064173928334,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,30.240000000000002,22.24762160806903,17.52362430822673,0.0,16.668684167408898,18.010631126781053,19.240805834914646,20.914665060046037,3.2697055142894262,0.9907448291778564,0.19573061327171565,-0.6603789925575256,-0.055458371527493,0.18765153735876083,0.44797874987125397,0.6762810945510864,0.35737899383870336,82.65747779978483,450000
0.4107626676559448,0.17260038320382592,0.0016705383313819766,0.0805107094347477,0.1487956866621971,0.25568222254514694,0.3543744117021561,0.1148704241592746,large,a2c,0.0,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,0,0.047388514027436504,120,,0.047388514027436504,0.0,frenet,crashed,1.0,-5.043744967209268,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,4.8,8.294265374077751,5.583089128181237,0.0,4.353818598616679,6.266353560642778,7.22489954898316,7.8134437979061175,2.150670686122224,0.5288918614387512,0.19494366589933634,0.0851249024271965,0.10102979093790054,0.1281265765428543,0.26039810478687286,0.41954521536827094,0.1283422260335715,9.26331740000387,50000
0.8911389708518982,0.35357661452611855,0.0002658925950527191,0.17861543595790863,0.3306497037410736,0.47982120513916016,0.6725073456764221,0.2151741855743927,large,a2c,0.2966321243523316,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,9,1.0002651067781825,772,30.88,1.0002651067781825,0.0,frenet,completed,0.7033678756476683,200.976939160067,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,30.88,19.66321168847962,16.87533949810494,0.0,16.606463767207114,17.569123341848012,18.068858759730038,18.467192402358474,2.693684807656658,0.9832876920700073,0.16288111606949682,-0.3572755455970764,-0.04274953715503216,0.14060261100530624,0.2942924350500107,0.45985713601112366,0.2693750613341367,91.50129209997976,500000
0.9992518424987793,0.41347290099981954,0.010036928579211235,0.19971418753266335,0.3386744558811188,0.5808900743722916,0.9198483109474183,0.2850421440157714,large,a2c,0.06470588235294118,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,10,0.2097266833321501,170,,0.2097266833321501,0.11176470588235295,frenet,crashed,0.9352941176470588,9.165252491604988,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,6.8,23.62239793677076,17.260567714069982,0.0,13.720225931886079,20.49445465652725,21.898591488412706,22.703951538225287,6.5056021342128,0.9770821928977966,0.4499524988425786,-0.15267306566238403,0.18718374893069267,0.40506669878959656,0.7418996244668961,0.9439940571784973,0.3296526099718446,100.33713960005844,550000
